,Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase,Phase_0_probability,Phase_1_probability
5145,4.3,6.4,1,0.005666565388878553,0.9943334346111214
5146,4.4,6.4,1,0.006665347545776967,0.993334652454223
5147,4.5,6.4,1,0.007796574162171055,0.992203425837829
5148,4.6,6.4,1,0.009067324290299439,0.9909326757097006
5149,4.7,6.4,1,0.010483662572482899,0.9895163374275171
5150,4.8,6.4,1,0.012050549787204545,0.9879494502127955
5151,4.9,6.4,1,0.01377178912503041,0.9862282108749696
5152,5.0,6.4,1,0.01565000647076431,0.9843499935292357
5153,5.1,6.4,1,0.01768666156033305,0.982313338439667
5154,5.2,6.4,1,0.019882085917743098,0.9801179140822569
5155,5.3,6.4,1,0.02223554292800145,0.9777644570719985
5156,5.4,6.4,1,0.02474530521192264,0.9752546947880774
5157,5.5,6.4,1,0.02740874456378606,0.9725912554362139
5158,5.6,6.4,1,0.0302224300587568,0.9697775699412432
5159,5.7,6.4,1,0.03318223039332224,0.9668177696066778
5160,5.8,6.4,1,0.036283417097138226,0.9637165829028618
5161,5.9,6.4,1,0.0395207658449408,0.9604792341550592
5162,6.0,6.4,1,0.04288865369028372,0.9571113463097163
5163,6.1,6.4,1,0.04638115057446157,0.9536188494255384
5164,6.2,6.4,1,0.04999210399068943,0.9500078960093106
5165,6.3,6.4,1,0.05371521608446983,0.9462847839155302
5166,6.4,6.4,1,0.057544112836694694,0.9424558871633053
5167,6.5,6.4,1,0.06147240528036946,0.9385275947196305
5168,6.6,6.4,1,0.06549374290511878,0.9345062570948812
5169,6.7,6.4,1,0.0696018595950818,0.9303981404049182
5170,6.8,6.4,1,0.07379061253709551,0.9262093874629045
5171,6.9,6.4,1,0.07805401464452189,0.9219459853554781
5172,7.0,6.4,1,0.08238626105105595,0.917613738948944
5173,7.1,6.4,1,0.08678175025784185,0.9132182497421582
5174,7.2,6.4,1,0.091235100515064,0.908764899484936
5175,7.3,6.4,1,0.09574116198155025,0.9042588380184498
5176,7.4,6.4,1,0.10029502517431865,0.8997049748256813
5177,7.5,6.4,1,0.10489202619544358,0.8951079738045564
5178,7.6,6.4,1,0.1095277491433535,0.8904722508566465
